implementation,cutoff_mode,n_voices,block_size,sr,total_samples,trial,wall_ms,rtf,cpu_pct,voices_at_realtime
RKSimulation,kr,1,64,48000,480000,1,233.8742,0.023387,2.3387,42
RKSimulation,kr,1,64,48000,480000,2,233.8944,0.023389,2.3389,42
RKSimulation,kr,1,64,48000,480000,3,233.9123,0.023391,2.3391,42
RKSimulation,kr,1,64,48000,480000,4,233.9145,0.023391,2.3391,42
RKSimulation,kr,2,64,48000,480000,1,467.7871,0.046779,4.6779,42
RKSimulation,kr,2,64,48000,480000,2,467.8093,0.046781,4.6781,42
RKSimulation,kr,2,64,48000,480000,3,467.8636,0.046786,4.6786,42
RKSimulation,kr,2,64,48000,480000,4,467.8712,0.046787,4.6787,42
RKSimulation,kr,4,64,48000,480000,1,935.6166,0.093562,9.3562,42
RKSimulation,kr,4,64,48000,480000,2,935.6387,0.093564,9.3564,42
RKSimulation,kr,4,64,48000,480000,3,935.7137,0.093571,9.3571,42
RKSimulation,kr,4,64,48000,480000,4,935.8234,0.093582,9.3582,42
RKSimulation,kr,8,64,48000,480000,1,1871.0279,0.187103,18.7103,42
RKSimulation,kr,8,64,48000,480000,2,1871.0583,0.187106,18.7106,42
RKSimulation,kr,8,64,48000,480000,3,1871.4228,0.187142,18.7142,42
RKSimulation,kr,8,64,48000,480000,4,1872.0558,0.187206,18.7206,42
RKSimulation,kr,16,64,48000,480000,1,3742.1198,0.374212,37.4212,42
RKSimulation,kr,16,64,48000,480000,2,3742.4606,0.374246,37.4246,42
RKSimulation,kr,16,64,48000,480000,3,3744.9230,0.374492,37.4492,42
RKSimulation,kr,16,64,48000,480000,4,3748.6359,0.374864,37.4864,42
RKSimulation,kr,32,64,48000,480000,1,7485.3939,0.748539,74.8539,42
RKSimulation,kr,32,64,48000,480000,2,7485.4808,0.748548,74.8548,42
RKSimulation,kr,32,64,48000,480000,3,7486.1451,0.748615,74.8615,42
RKSimulation,kr,32,64,48000,480000,4,7492.1337,0.749213,74.9213,42
RKSimulation,kr,64,64,48000,480000,1,14969.9898,1.496999,149.6999,42
RKSimulation,kr,64,64,48000,480000,2,14971.0471,1.497105,149.7105,42
RKSimulation,kr,64,64,48000,480000,3,14971.8297,1.497183,149.7183,42
RKSimulation,kr,64,64,48000,480000,4,14974.3516,1.497435,149.7435,42
