implementation,cutoff_mode,n_voices,block_size,sr,total_samples,trial,wall_ms,rtf,cpu_pct,voices_at_realtime
moognn_32u,kr,1,64,48000,480000,1,591.8595,0.059186,5.9186,16
moognn_32u,kr,1,64,48000,480000,2,592.3062,0.059231,5.9231,16
moognn_32u,kr,1,64,48000,480000,3,596.5153,0.059652,5.9652,16
moognn_32u,kr,1,64,48000,480000,4,626.7447,0.062674,6.2674,16
moognn_64u,kr,1,64,48000,480000,1,857.3386,0.085734,8.5734,11
moognn_64u,kr,1,64,48000,480000,2,857.9757,0.085798,8.5798,11
moognn_64u,kr,1,64,48000,480000,3,858.4586,0.085846,8.5846,11
moognn_64u,kr,1,64,48000,480000,4,859.6588,0.085966,8.5966,11
moognn_128u,kr,1,64,48000,480000,1,1660.0445,0.166004,16.6004,5
moognn_128u,kr,1,64,48000,480000,2,1707.6090,0.170761,17.0761,5
moognn_128u,kr,1,64,48000,480000,3,1727.2956,0.172730,17.2730,5
moognn_128u,kr,1,64,48000,480000,4,1728.5070,0.172851,17.2851,5
moognn_256u,kr,1,64,48000,480000,1,5943.8117,0.594381,59.4381,1
moognn_256u,kr,1,64,48000,480000,2,6016.5711,0.601657,60.1657,1
moognn_256u,kr,1,64,48000,480000,3,6039.5880,0.603959,60.3959,1
moognn_256u,kr,1,64,48000,480000,4,6056.1741,0.605617,60.5617,1
moognn_128u,kr,2,64,48000,480000,1,3223.6846,0.322368,32.2368,5
moognn_128u,kr,2,64,48000,480000,2,3302.5907,0.330259,33.0259,5
moognn_128u,kr,2,64,48000,480000,3,3338.5490,0.333855,33.3855,5
moognn_128u,kr,2,64,48000,480000,4,3420.4898,0.342049,34.2049,5
moognn_128u,kr,4,64,48000,480000,1,6676.7121,0.667671,66.7671,5
moognn_128u,kr,4,64,48000,480000,2,6703.0325,0.670303,67.0303,5
moognn_128u,kr,4,64,48000,480000,3,6818.9972,0.681900,68.1900,5
moognn_128u,kr,4,64,48000,480000,4,6825.8687,0.682587,68.2587,5
moognn_128u,kr,8,64,48000,480000,1,13192.7892,1.319279,131.9279,6
moognn_128u,kr,8,64,48000,480000,2,13284.9776,1.328498,132.8498,6
moognn_128u,kr,8,64,48000,480000,3,13286.6234,1.328662,132.8662,6
moognn_128u,kr,8,64,48000,480000,4,13288.7742,1.328877,132.8877,6
moognn_128u,kr,16,64,48000,480000,1,26477.1027,2.647710,264.7710,5
moognn_128u,kr,16,64,48000,480000,2,26567.9125,2.656791,265.6791,5
moognn_128u,kr,16,64,48000,480000,3,26678.9857,2.667899,266.7899,5
moognn_128u,kr,16,64,48000,480000,4,26692.2258,2.669223,266.9223,5
distnn_128u,kr,1,64,48000,480000,1,1651.3608,0.165136,16.5136,6
distnn_128u,kr,1,64,48000,480000,2,1652.4425,0.165244,16.5244,6
distnn_128u,kr,1,64,48000,480000,3,1657.4837,0.165748,16.5748,6
distnn_128u,kr,1,64,48000,480000,4,1665.8412,0.166584,16.6584,6
distnn_128u,kr,2,64,48000,480000,1,3249.3033,0.324930,32.4930,6
distnn_128u,kr,2,64,48000,480000,2,3257.1722,0.325717,32.5717,6
distnn_128u,kr,2,64,48000,480000,3,3282.3445,0.328234,32.8234,6
distnn_128u,kr,2,64,48000,480000,4,3284.4179,0.328442,32.8442,6
distnn_128u,kr,4,64,48000,480000,1,6372.6560,0.637266,63.7266,6
distnn_128u,kr,4,64,48000,480000,2,6404.9682,0.640497,64.0497,6
distnn_128u,kr,4,64,48000,480000,3,6446.0296,0.644603,64.4603,6
distnn_128u,kr,4,64,48000,480000,4,6476.4773,0.647648,64.7648,6
distnn_128u,kr,8,64,48000,480000,1,12754.5502,1.275455,127.5455,6
distnn_128u,kr,8,64,48000,480000,2,12863.7964,1.286380,128.6380,6
distnn_128u,kr,8,64,48000,480000,3,12983.7625,1.298376,129.8376,6
distnn_128u,kr,8,64,48000,480000,4,13082.1036,1.308210,130.8210,6
distnn_128u,kr,16,64,48000,480000,1,25749.4646,2.574946,257.4946,6
distnn_128u,kr,16,64,48000,480000,2,25773.2741,2.577327,257.7327,6
distnn_128u,kr,16,64,48000,480000,3,25796.8820,2.579688,257.9688,6
distnn_128u,kr,16,64,48000,480000,4,25913.4126,2.591341,259.1341,6
moogladder,kr,1,64,48000,480000,1,70.5323,0.007053,0.7053,141
moogladder,kr,1,64,48000,480000,2,70.5703,0.007057,0.7057,141
moogladder,kr,1,64,48000,480000,3,70.8075,0.007081,0.7081,141
moogladder,kr,1,64,48000,480000,4,73.1093,0.007311,0.7311,141
moogladder,kr,2,64,48000,480000,1,119.3167,0.011932,1.1932,167
moogladder,kr,2,64,48000,480000,2,119.6416,0.011964,1.1964,167
moogladder,kr,2,64,48000,480000,3,119.6587,0.011966,1.1966,167
moogladder,kr,2,64,48000,480000,4,119.7393,0.011974,1.1974,167
moogladder,kr,4,64,48000,480000,1,218.8542,0.021885,2.1885,182
moogladder,kr,4,64,48000,480000,2,218.9330,0.021893,2.1893,182
moogladder,kr,4,64,48000,480000,3,219.0946,0.021909,2.1909,182
moogladder,kr,4,64,48000,480000,4,219.1157,0.021912,2.1912,182
moogladder,kr,8,64,48000,480000,1,417.1408,0.041714,4.1714,191
moogladder,kr,8,64,48000,480000,2,417.3531,0.041735,4.1735,191
moogladder,kr,8,64,48000,480000,3,417.6259,0.041763,4.1763,191
moogladder,kr,8,64,48000,480000,4,417.9574,0.041796,4.1796,191
moogladder,kr,16,64,48000,480000,1,812.6721,0.081267,8.1267,196
moogladder,kr,16,64,48000,480000,2,812.8215,0.081282,8.1282,196
moogladder,kr,16,64,48000,480000,3,812.9451,0.081295,8.1295,196
moogladder,kr,16,64,48000,480000,4,813.1355,0.081314,8.1314,196
moogladder,kr,32,64,48000,480000,1,1604.6144,0.160461,16.0461,199
moogladder,kr,32,64,48000,480000,2,1604.7117,0.160471,16.0471,199
moogladder,kr,32,64,48000,480000,3,1604.7452,0.160475,16.0475,199
moogladder,kr,32,64,48000,480000,4,1605.2004,0.160520,16.0520,199
moogladder,kr,64,64,48000,480000,1,3188.3032,0.318830,31.8830,200
moogladder,kr,64,64,48000,480000,2,3188.4441,0.318844,31.8844,200
moogladder,kr,64,64,48000,480000,3,3188.5107,0.318851,31.8851,200
moogladder,kr,64,64,48000,480000,4,3188.7742,0.318877,31.8877,200
rkmoog,kr,1,64,48000,480000,1,255.7382,0.025574,2.5574,39
rkmoog,kr,1,64,48000,480000,2,255.7652,0.025577,2.5577,39
rkmoog,kr,1,64,48000,480000,3,255.7733,0.025577,2.5577,39
rkmoog,kr,1,64,48000,480000,4,256.2039,0.025620,2.5620,39
rkmoog,kr,2,64,48000,480000,1,490.9922,0.049099,4.9099,40
rkmoog,kr,2,64,48000,480000,2,491.1555,0.049116,4.9116,40
rkmoog,kr,2,64,48000,480000,3,494.6080,0.049461,4.9461,40
rkmoog,kr,2,64,48000,480000,4,501.4568,0.050146,5.0146,40
rkmoog,kr,4,64,48000,480000,1,962.0306,0.096203,9.6203,41
rkmoog,kr,4,64,48000,480000,2,962.1089,0.096211,9.6211,41
rkmoog,kr,4,64,48000,480000,3,962.8107,0.096281,9.6281,41
rkmoog,kr,4,64,48000,480000,4,963.0509,0.096305,9.6305,41
rkmoog,kr,8,64,48000,480000,1,1903.5806,0.190358,19.0358,42
